,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,95.0,186.0,381.5,577.5,735.5,1717.0,1605.0,1316.0,1857.5,1875.0,3414.0,3912.5,3538.5,3862.0,3440.0,3335.0,3113.5,2859.5,2770.0,2278.5,1202.5,7754.5,10799.5,4259.0,2077.5,2010.5,1849.0,1092.5,433.0,465.5,962.0,736.0,120.0,366.0,462.5,423.0,381.0,378.0,502.0,390.0,164.5,125.0,138.0,152.0,116.5,66.5,45.0,32.0,30.5,22.5,12.0,22.5,29.0,28.0,27.5,34.5,49.0,74.0,74.5,92.5,96.5,78.0,81.5,95.5,118.0,108.5,112.5,99.5,78.5,81.5,76.5,75.0,55.5,32.0
1,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,3.5,4.0,2.0,1.5,0.5,2.0,3.5,2.5,0.5,0.5,1.5,1.5,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.5,36.5,86.5,164.5,199.0,200.0,187.5,214.0,394.5,538.0,692.0,699.5,592.5,725.0,643.0,451.0,486.0,476.5,360.5,218.5,99.5,138.5,178.0,112.0,108.5,91.5,75.0,79.0,88.5,122.5,119.5,117.0,154.5,81.0,38.0,88.0,102.0,97.5,118.5,125.5,91.5,101.5,113.0,95.0,87.5,90.0,94.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.5,1.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,0.5,4.0,4.0,4.5,7.0,4.5,4.0,5.0,7.0,9.5,8.0,4.5,11.0,14.5,10.5,9.0,9.5,11.0,10.5,12.5,14.5,12.0,7.5,10.5,9.5,3.5,,
3,1.0,1.5,2.0,1.5,0.5,3.0,3.0,0.0,2.5,2.5,0.0,0.0,3.0,3.0,0.0,0.0,3.5,3.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.5,0.5,1.0,0.5,0.5,0.5,0.0,2.0,2.5,1.5,1.0,0.0,1.5,4.5,8.5,8.0,6.0,19.5,32.5,31.5,32.5,47.5,55.0,69.5,138.5,155.0,114.0,106.5,109.0,101.0,100.0,126.0,139.5,131.5,123.5,112.0,103.5,96.0,89.0
4,0.0,0.0,0.0,1.0,1.0,1.5,1.5,2.0,4.0,4.5,2.5,0.0,1.0,1.0,0.0,1.5,1.5,0.5,0.5,0.0,1.0,1.0,0.5,7.5,15.0,11.5,7.5,9.0,10.0,10.5,14.0,21.0,18.5,11.5,15.0,22.0,19.5,13.5,14.0,16.5,18.5,28.5,33.5,44.5,50.5,41.0,25.0,39.5,64.0,29.0,31.0,67.0,69.0,33.0,19.5,25.0,23.0,37.0,41.5,69.0,60.5,46.0,89.5,97.0,80.5,153.0,199.0,86.5,43.5,156.0,271.0,219.5,322.0,522.0
5,2.0,1.0,0.5,1.0,1.5,1.0,1.5,3.0,3.0,2.5,1.0,3.0,5.0,2.0,1.0,2.5,5.0,6.0,3.5,2.5,5.5,8.5,7.0,4.0,2.5,3.0,3.5,1.5,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.0,4.5,6.5,3.0,2.0,1.0,3.5,10.0,10.5,10.0,6.0,5.0,14.0,9.0,11.0,17.0,13.0,15.5,20.0,35.0,39.5,36.0,43.5,35.0,38.5,51.5,61.0,62.5,50.5,59.5,56.0,38.5,41.0,60.5,61.5,57.0,70.0,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.5,,,,
7,0.0,0.5,0.5,1.5,1.5,0.0,0.0,0.0,1.0,1.5,0.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,18.0,3.0,3.5,1.5,5.0,7.0,15.0,22.0,25.5,49.5,56.5,92.5,128.0,90.5,220.5,349.0,352.0,449.0,532.0,660.0,952.5,1461.0,1575.5,3628.0,5658.5,5906.0,7088.0,9179.0,10232.0,10965.5,15048.0,17939.5,18821.0,19614.5,20164.5,23643.0,25782.5,27640.5,31107.0,32698.5,33264.0
