Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
12,14.0,1.0,1.0,5.0,16630,1.0,1.0,6.0,13.0,3.0,978.0,12.0,3.0,20,15,13.0,12.0,1.0,3.0,2.0,18.0,2.0,1.0,1.0,10,19,8.0,8,7.0,8.0
13,15.0,1.0,1.0,7.0,19716,1.0,1.0,6.0,13.0,3.0,1501.0,15.0,3.0,20,15,13.0,12.0,1.0,3.0,2.0,24.0,2.0,1.0,1.0,10,19,9.0,11,8.0,8.0
14,15.0,1.0,1.0,7.0,23707,1.0,1.0,6.0,14.0,3.0,2336.0,20.0,3.0,22,16,16.0,12.0,1.0,3.0,2.0,28.0,2.0,1.0,1.0,11,25,9.0,11,8.0,8.0
15,15.0,1.0,1.0,7.0,27440,1.0,1.0,6.0,14.0,3.0,2922.0,37.0,3.0,22,19,22.0,16.0,1.0,3.0,2.0,28.0,2.0,1.0,1.0,11,25,9.0,11,8.0,10.0
16,15.0,1.0,1.0,7.0,30587,1.0,1.0,11.0,16.0,3.0,3513.0,43.0,3.0,22,23,22.0,16.0,1.0,3.0,2.0,30.0,2.0,1.0,1.0,16,25,9.0,11,8.0,10.0
17,15.0,1.0,1.0,7.0,34110,2.0,1.0,11.0,16.0,3.0,4747.0,61.0,3.0,25,24,32.0,18.0,1.0,3.0,2.0,33.0,2.0,1.0,1.0,16,25,9.0,11,8.0,13.0
18,15.0,1.0,1.0,7.0,36814,2.0,1.0,11.0,16.0,3.0,5823.0,61.0,3.0,25,24,32.0,18.0,1.0,3.0,2.0,40.0,2.0,1.0,1.0,17,32,9.0,11,8.0,13.0
19,15.0,1.0,1.0,7.0,39829,2.0,1.0,11.0,16.0,3.0,6566.0,75.0,3.0,26,25,41.0,18.0,1.0,3.0,2.0,45.0,2.0,1.0,1.0,18,32,9.0,11,9.0,14.0
20,15.0,1.0,1.0,7.0,42354,2.0,1.0,11.0,16.0,3.0,7161.0,79.0,3.0,26,27,61.0,19.0,1.0,3.0,2.0,47.0,2.0,1.0,1.0,18,32,9.0,11,9.0,15.0
21,15.0,1.0,1.0,7.0,44386,3.0,1.0,11.0,16.0,3.0,8042.0,100.0,3.0,26,28,61.0,19.0,1.0,3.0,2.0,50.0,2.0,1.0,1.0,18,33,9.0,12,9.0,15.0
22,15.0,1.0,1.0,7.0,44759,15.0,1.0,11.0,16.0,3.0,9000.0,126.0,20.0,28,28,77.0,22.0,1.0,3.0,2.0,58.0,2.0,1.0,1.0,18,33,9.0,12,9.0,16.0
23,15.0,1.0,1.0,8.0,59895,15.0,1.0,12.0,16.0,3.0,10075.0,155.0,62.0,28,28,93.0,22.0,1.0,3.0,2.0,67.0,2.0,1.0,1.0,18,33,9.0,13,9.0,16.0
24,15.0,1.0,1.0,8.0,66358,49.0,1.0,12.0,16.0,3.0,11364.0,213.0,155.0,29,28,110.0,22.0,1.0,3.0,2.0,72.0,2.0,1.0,1.0,18,33,9.0,13,9.0,16.0
25,15.0,1.0,1.0,8.0,68413,55.0,1.0,12.0,16.0,3.0,12729.0,218.0,229.0,43,28,110.0,22.0,1.0,3.0,2.0,75.0,6.0,1.0,1.0,18,33,13.0,13,13.0,16.0
26,15.0,1.0,1.0,8.0,70513,59.0,1.0,12.0,16.0,3.0,13938.0,250.0,322.0,59,29,120.0,22.0,1.0,3.0,2.0,77.0,13.0,1.0,1.0,20,34,13.0,13,13.0,16.0
27,15.0,2.0,1.0,9.0,72434,60.0,1.0,12.0,16.0,3.0,14991.0,304.0,453.0,66,30,133.0,22.0,1.0,3.0,2.0,81.0,15.0,1.0,2.0,22,35,13.0,13,13.0,16.0
28,15.0,8.0,1.0,9.0,74211,67.0,1.0,12.0,16.0,3.0,16169.0,427.0,655.0,74,31,157.0,22.0,1.0,3.0,2.0,84.0,32.0,1.0,7.0,22,35,15.0,13,13.0,16.0
29,15.0,13.0,1.0,9.0,74619,80.0,2.0,12.0,16.0,3.0,17361.0,529.0,888.0,84,31,163.0,22.0,1.0,3.0,2.0,84.0,45.0,1.0,7.0,23,35,20.0,13,13.0,16.0
30,15.0,23.0,1.0,10.0,75077,109.0,2.0,12.0,17.0,3.0,18407.0,712.0,1128.0,94,104,187.0,22.0,1.0,3.0,2.0,85.0,84.0,1.0,12.0,24,35,23.0,13,13.0,16.0
31,15.0,50.0,1.0,11.0,75550,110.0,2.0,12.0,27.0,3.0,19644.0,883.0,1694.0,105,204,248.0,22.0,1.0,3.0,2.0,85.0,120.0,1.0,14.0,26,35,36.0,15,19.0,16.0
32,15.0,109.0,1.0,11.0,77001,150.0,3.0,12.0,46.0,3.0,20610.0,1071.0,2036.0,122,433,267.0,22.0,1.0,3.0,3.0,89.0,165.0,1.0,15.0,26,35,40.0,15,21.0,16.0
33,15.0,169.0,1.0,13.0,77022,196.0,6.0,14.0,48.0,5.0,21638.0,1238.0,2502.0,147,602,318.0,22.0,1.0,3.0,3.0,89.0,222.0,1.0,21.0,28,35,51.0,15,21.0,16.0
34,15.0,200.0,1.0,14.0,77241,196.0,6.0,18.0,79.0,5.0,23049.0,2369.0,3089.0,159,833,333.0,23.0,1.0,3.0,3.0,91.0,259.0,1.0,35.0,30,35,85.0,51,21.0,16.0
35,25.0,239.0,1.0,20.0,77754,256.0,6.0,38.0,130.0,28.0,24811.0,2693.0,3858.0,170,977,368.0,23.0,1.0,3.0,4.0,93.0,400.0,1.0,94.0,31,37,115.0,51,27.0,16.0
36,27.0,267.0,1.0,24.0,78166,285.0,6.0,57.0,159.0,30.0,27017.0,3035.0,4636.0,189,1261,391.0,25.0,1.0,3.0,13.0,93.0,500.0,1.0,101.0,32,40,163.0,57,27.0,16.0
37,30.0,314.0,1.0,27.0,78600,294.0,12.0,100.0,196.0,31.0,29406.0,3619.0,5883.0,214,1766,412.0,29.0,1.0,5.0,13.0,93.0,673.0,1.0,161.0,32,40,206.0,58,29.0,16.0
38,39.0,314.0,1.0,30.0,78928,327.0,15.0,130.0,262.0,34.0,32332.0,4247.0,7375.0,228,2337,438.0,29.0,1.0,6.0,17.0,102.0,1073.0,1.0,203.0,34,41,273.0,60,29.0,16.0
39,52.0,559.0,1.0,33.0,79356,366.0,15.0,191.0,482.0,39.0,35408.0,4695.0,9172.0,241,3150,446.0,36.0,1.0,10.0,17.0,106.0,1695.0,1.0,248.0,39,42,321.0,68,45.0,16.0
40,55.0,689.0,1.0,37.0,79932,402.0,23.0,204.0,670.0,43.0,38309.0,5358.0,10149.0,256,3736,470.0,50.0,1.0,20.0,20.0,108.0,2277.0,1.0,355.0,40,42,382.0,74,45.0,16.0
41,60.0,886.0,1.0,49.0,80136,456.0,30.0,285.0,799.0,56.0,41495.0,6092.0,12462.0,274,4335,479.0,50.0,1.0,33.0,20.0,110.0,2277.0,1.0,500.0,41,43,456.0,98,45.0,16.0
42,63.0,1058.0,2.0,54.0,80261,495.0,40.0,377.0,1040.0,62.0,44605.0,6857.0,12462.0,293,5186,494.0,83.0,1.0,49.0,28.0,110.0,5232.0,1.0,599.0,42,43,456.0,118,74.0,16.0
43,76.0,1243.0,2.0,64.0,80386,536.0,59.0,653.0,1176.0,73.0,47593.0,7428.0,17660.0,331,5621,508.0,93.0,1.0,52.0,45.0,117.0,6391.0,1.0,814.0,42,43,798.0,149,74.0,16.0
44,91.0,1486.0,2.0,77.0,80537,576.0,59.0,949.0,1457.0,82.0,50468.0,7851.0,21157.0,360,6088,520.0,99.0,1.0,64.0,59.0,130.0,7798.0,1.0,961.0,44,47,1140.0,217,85.0,16.0
45,107.0,1795.0,3.0,79.0,80690,609.0,155.0,1126.0,1908.0,102.0,53183.0,,24747.0,420,6593,,117.0,1.0,111.0,63.0,138.0,9942.0,2.0,1022.0,45,48,1140.0,262,85.0,18.0
46,128.0,2257.0,3.0,108.0,80770,656.0,225.0,1209.0,2078.0,113.0,55743.0,,27980.0,461,7041,,129.0,1.0,140.0,90.0,150.0,11748.0,2.0,1103.0,45,50,1543.0,402,85.0,30.0
47,128.0,2815.0,5.0,117.0,80823,710.0,244.0,1784.0,3675.0,119.0,,,31506.0,502,7314,,149.0,1.0,142.0,114.0,150.0,13910.0,6.0,1190.0,45,50,1950.0,518,98.0,30.0
48,200.0,3401.0,7.0,193.0,80860,779.0,277.0,2281.0,4585.0,142.0,,,35713.0,511,7478,,149.0,1.0,187.0,147.0,160.0,17963.0,10.0,1279.0,45,50,2626.0,583,98.0,31.0
49,250.0,3743.0,7.0,198.0,80887,865.0,321.0,2281.0,5795.0,156.0,,,41035.0,581,7513,,197.0,1.0,202.0,199.0,178.0,20410.0,18.0,1439.0,47,53,2689.0,959,98.0,38.0
50,297.0,4269.0,7.0,252.0,80921,985.0,336.0,3661.0,7272.0,194.0,,,47021.0,639,7755,,238.0,1.0,217.0,253.0,178.0,25374.0,28.0,1639.0,48,59,3983.0,1281,113.0,39.0
51,377.0,4937.0,33.0,415.0,80932,1070.0,400.0,4469.0,9257.0,244.0,,,53578.0,639,7869,,428.0,1.0,230.0,306.0,200.0,28768.0,44.0,1763.0,49,70,5018.0,1663,140.0,47.0
52,452.0,6235.0,35.0,478.0,80945,,450.0,4499.0,12327.0,330.0,,,59138.0,701,7979,,566.0,1.0,307.0,367.0,212.0,35136.0,51.0,1934.0,50,75,5683.0,2179,140.0,53.0
53,568.0,7284.0,37.0,657.0,80977,,523.0,6633.0,15320.0,396.0,,,63927.0,773,8086,,673.0,1.0,380.0,438.0,226.0,39885.0,60.0,2046.0,53,82,6650.0,2727,153.0,56.0
54,681.0,9134.0,51.0,800.0,81003,,626.0,7652.0,19848.0,499.0,,,69176.0,839,8162,,790.0,1.0,462.0,495.0,243.0,49515.0,73.0,2286.0,59,114,8077.0,3499,153.0,61.0
55,791.0,10836.0,53.0,943.0,81033,,700.0,9043.0,22213.0,536.0,,,74386.0,839,8236,,900.0,1.0,552.0,658.0,266.0,57786.0,77.0,2526.0,67,147,9529.0,4632,198.0,66.0
56,1071.0,11899.0,84.0,1277.0,81058,,792.0,10871.0,24873.0,657.0,,,80589.0,878,8320,,1030.0,1.0,636.0,840.0,313.0,65719.0,82.0,2840.0,77,177,11658.0,6421,248.0,75.0
57,1549.0,12775.0,87.0,1469.0,81102,,880.0,12612.0,29056.0,727.0,,,86498.0,889,8413,,1183.0,1.0,707.0,1036.0,345.0,73235.0,97.0,3069.0,100,212,14543.0,7783,333.0,85.0
58,1682.0,13964.0,91.0,2088.0,81156,,958.0,14282.0,32986.0,887.0,,,92472.0,924,8565,,1306.0,1.0,803.0,1264.0,385.0,80110.0,102.0,3447.0,108,272,17089.0,13677,333.0,91.0
59,2044.0,15348.0,96.0,2790.0,81250,,1041.0,16018.0,37323.0,987.0,,,97689.0,963,8652,,1518.0,2.0,1075.0,1534.0,432.0,87956.0,102.0,3700.0,135,322,19522.0,19100,405.0,94.0
60,2364.0,16770.0,96.0,3251.0,81305,,1167.0,19856.0,43938.0,1024.0,,,101739.0,1007,8799,,1624.0,2.0,1418.0,1836.0,455.0,95923.0,106.0,4028.0,153,411,22141.0,25489,468.0,113.0
61,2810.0,18431.0,99.0,4038.0,81435,,1240.0,22304.0,50871.0,1251.0,,,105792.0,1101,8961,,1796.0,3.0,1546.0,2337.0,509.0,104118.0,106.0,4435.0,169,599,25150.0,33276,570.0,123.0
62,3143.0,,99.0,4678.0,81498,,1352.0,25233.0,57695.0,1397.0,,,110574.0,1128,8961,,2031.0,3.0,2084.0,2777.0,558.0,112065.0,113.0,4947.0,195,721,29474.0,43847,611.0,134.0
63,3640.0,,103.0,5571.0,81591,,1418.0,29155.0,62095.0,1998.0,,,115242.0,1193,9037,,2161.0,4.0,2311.0,3548.0,631.0,119199.0,117.0,5568.0,215,827,33718.0,53740,664.0,141.0
64,3984.0,,107.0,6275.0,81661,,1446.0,32964.0,66885.0,2543.0,,,119827.0,1307,9137,,2320.0,5.0,2633.0,4149.0,683.0,126168.0,122.0,6131.0,235,934,38168.0,65778,814.0,153.0
65,4361.0,,109.0,7393.0,81782,,1518.0,37575.0,71808.0,2567.0,,,124632.0,1387,9241,,2470.0,5.0,3018.0,4731.0,732.0,,143.0,6443.0,252,1045,41903.0,83836,1024.0,163.0
66,4559.0,,109.0,8521.0,81897,,1615.0,40174.0,77872.0,3082.0,,,,1468,9332,,2626.0,5.0,3094.0,,802.0,,146.0,,267,1136,,101657,1264.0,174.0
67,4862.0,,110.0,9553.0,81999,,1882.0,44550.0,84794.0,,,,,1693,9478,,2766.0,5.0,,,844.0,,151.0,,283,1245,,121478,1505.0,188.0
68,5116.0,,114.0,11276.0,82122,,,52128.0,91159.0,,,,,1866,9583,,2908.0,5.0,,,879.0,,159.0,,298,1388,,140886,,203.0
69,5330.0,,114.0,12429.0,82198,,,56989.0,96092.0,,,,,1866,9661,,3116.0,6.0,,,926.0,,166.0,,306,1524,,161807,,212.0
70,5550.0,,,12968.0,82279,,,59105.0,,,,,,1953,9786,,3333.0,6.0,,,1000.0,,,,322,1651,,188172,,218.0
71,,,,,82361,,,64338.0,,,,,,2178,9887,,3483.0,9.0,,,1049.0,,,,329,1771,,213372,,233.0
72,,,,,82432,,,89953.0,,,,,,2495,9976,,,,,,1114.0,,,,339,1875,,243453,,237.0
73,,,,,82511,,,,,,,,,2617,10062,,,,,,1189.0,,,,348,1978,,275586,,240.0
74,,,,,82543,,,,,,,,,3139,10156,,,,,,,,,,355,2067,,308850,,
