Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
1,4.0,1.0,1.0,1.0,548,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,1,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,2,2.0,1,4.0,2.0
2,5.0,1.0,1.0,1.0,643,1.0,1.0,3.0,4.0,1.0,5.0,1.0,2.0,2,1,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1,3,2.0,1,4.0,2.0
3,5.0,1.0,1.0,2.0,920,1.0,1.0,3.0,4.0,1.0,18.0,1.0,2.0,2,2,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3,5,2.0,2,4.0,2.0
4,6.0,1.0,1.0,2.0,1406,1.0,1.0,3.0,4.0,2.0,28.0,1.0,2.0,2,2,1.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3,7,2.0,2,4.0,2.0
5,9.0,1.0,1.0,2.0,2075,1.0,1.0,4.0,5.0,3.0,43.0,1.0,2.0,4,3,1.0,7.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,4,8,2.0,5,5.0,2.0
6,9.0,1.0,1.0,4.0,2877,1.0,1.0,5.0,8.0,3.0,61.0,2.0,2.0,4,4,2.0,8.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,5,8,2.0,5,5.0,2.0
7,12.0,1.0,1.0,4.0,5509,1.0,1.0,5.0,10.0,3.0,95.0,3.0,2.0,7,4,2.0,8.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,8,14,2.0,5,5.0,2.0
8,12.0,1.0,1.0,4.0,6087,1.0,1.0,5.0,12.0,3.0,139.0,4.0,3.0,7,4,2.0,8.0,1.0,2.0,2.0,10.0,1.0,1.0,1.0,8,14,3.0,5,5.0,2.0
9,12.0,1.0,1.0,4.0,8141,1.0,1.0,6.0,12.0,3.0,245.0,7.0,3.0,11,4,4.0,8.0,1.0,3.0,2.0,13.0,2.0,1.0,1.0,9,14,3.0,5,5.0,2.0
10,13.0,1.0,1.0,4.0,9802,1.0,1.0,6.0,12.0,3.0,388.0,10.0,3.0,15,11,10.0,8.0,1.0,3.0,2.0,16.0,2.0,1.0,1.0,10,19,3.0,7,5.0,6.0
11,13.0,1.0,1.0,5.0,11891,1.0,1.0,6.0,12.0,3.0,593.0,10.0,3.0,20,12,13.0,10.0,1.0,3.0,2.0,18.0,2.0,1.0,1.0,10,19,8.0,8,7.0,6.0
