,cluster1,cluster2,distance,members
0,22.0,23.0,157700.41635528824,2.0
1,25.0,27.0,165743.61156739848,2.0
2,24.0,31.0,194990.30424481464,3.0
3,26.0,28.0,221820.2940378158,2.0
4,29.0,33.0,246552.88348644515,3.0
5,32.0,34.0,248660.7927023678,6.0
6,30.0,35.0,263151.5320431389,8.0
7,19.0,20.0,508111.4253051148,2.0
8,16.0,17.0,649574.0918253548,2.0
9,36.0,37.0,715954.0573789311,10.0
10,21.0,39.0,764676.732017706,11.0
11,13.0,15.0,991565.9126784966,2.0
12,18.0,41.0,1380430.9700675628,3.0
13,40.0,42.0,1413601.0865422608,14.0
14,38.0,43.0,1567985.0136886186,16.0
15,14.0,44.0,1653616.7466907247,17.0
16,11.0,12.0,3312090.118095477,2.0
17,45.0,46.0,4135870.7960224133,19.0
18,5.0,9.0,7221109.629097407,2.0
19,7.0,48.0,7231776.179265617,3.0
20,10.0,47.0,7540261.4188026,20.0
21,8.0,49.0,7546566.488206419,4.0
22,6.0,51.0,10625500.658912294,5.0
23,4.0,52.0,11986912.424537158,6.0
24,50.0,53.0,12373745.731720038,26.0
25,3.0,54.0,67635464.29112208,27.0
26,2.0,55.0,351110194.13193005,28.0
27,1.0,56.0,376591575.94153535,29.0
28,0.0,57.0,2270570137.7042522,30.0
