,cluster1,cluster2,distance,members
0,21.0,23.0,180.66066664548302,2.0
1,25.0,26.0,203.86576464776118,2.0
2,27.0,28.0,241.21755052220436,2.0
3,31.0,32.0,245.60803361791787,4.0
4,18.0,22.0,251.1979520172609,2.0
5,30.0,34.0,269.4436776511082,4.0
6,24.0,33.0,301.0495030574262,5.0
7,20.0,35.0,306.12002063096287,5.0
8,29.0,36.0,308.2560158289734,6.0
9,14.0,17.0,395.44224014646505,2.0
10,37.0,38.0,416.44786798591446,11.0
11,39.0,40.0,432.95865486884986,13.0
12,12.0,13.0,502.1534024518626,2.0
13,41.0,42.0,564.365791988622,15.0
14,19.0,43.0,575.9628902091272,16.0
15,11.0,15.0,620.834845327557,2.0
16,44.0,45.0,750.696113909,18.0
17,10.0,46.0,817.427076556528,19.0
18,6.0,7.0,822.2367300180492,2.0
19,16.0,47.0,859.5977997843447,20.0
20,8.0,48.0,888.6074559028972,3.0
21,9.0,50.0,898.1348654898642,4.0
22,5.0,51.0,965.2178161780257,5.0
23,2.0,3.0,1448.249905668329,2.0
24,4.0,53.0,2030.7503838986115,3.0
25,49.0,52.0,2059.8092361801173,25.0
26,1.0,54.0,4258.654792408911,4.0
27,55.0,56.0,4732.604101484359,29.0
28,0.0,57.0,13891.621945356997,30.0
