,cluster1,cluster2,distance,members
0,18.0,19.0,157700.41635528824,2.0
1,21.0,22.0,165743.61156739848,2.0
2,20.0,27.0,194990.30424481464,3.0
3,24.0,25.0,221820.2940378158,2.0
4,23.0,29.0,246552.88348644515,3.0
5,28.0,30.0,248660.7927023678,6.0
6,26.0,31.0,263151.5320431389,8.0
7,16.0,17.0,508111.4253051148,2.0
8,10.0,11.0,649574.0918253548,2.0
9,32.0,33.0,715954.0573789311,10.0
10,15.0,35.0,764676.732017706,11.0
11,13.0,14.0,991565.9126784966,2.0
12,12.0,37.0,1380430.9700675628,3.0
13,36.0,38.0,1413601.0865422608,14.0
14,34.0,39.0,1567985.0136886186,16.0
15,9.0,40.0,1653616.7466907247,17.0
16,7.0,8.0,3312090.118095477,2.0
17,41.0,42.0,4135870.7960224133,19.0
18,4.0,5.0,7221109.629097407,2.0
19,3.0,44.0,7231776.179265617,3.0
20,6.0,43.0,7540261.4188026,20.0
21,2.0,45.0,7546566.488206419,4.0
22,1.0,47.0,10625500.658912294,5.0
23,0.0,48.0,11986912.424537158,6.0
24,46.0,49.0,12373745.731720038,26.0
