,cluster1,cluster2,distance,members
0,17.0,18.0,0.0,2.0
1,16.0,24.0,1.7320508075688772,3.0
2,22.0,23.0,21.2602916254693,2.0
3,21.0,26.0,23.600847442411894,3.0
4,19.0,20.0,33.58571124749333,2.0
5,14.0,28.0,36.15245496505044,3.0
6,13.0,29.0,40.39801975344831,4.0
7,12.0,30.0,45.51922670696417,5.0
8,27.0,31.0,59.42221806698232,8.0
9,10.0,11.0,63.58458932791813,2.0
10,32.0,33.0,71.37226352022192,10.0
11,15.0,34.0,77.2463591375024,11.0
12,25.0,35.0,79.40403012442127,14.0
13,9.0,36.0,166.94909403767366,15.0
14,8.0,37.0,266.55393450482023,16.0
15,3.0,4.0,279.4762959536998,2.0
16,0.0,1.0,312.2963336320169,2.0
17,2.0,39.0,404.5689063682477,3.0
18,6.0,7.0,436.4401448079679,2.0
19,5.0,42.0,493.6446090053045,3.0
20,38.0,43.0,512.0849538894889,19.0
21,41.0,44.0,679.8764593659645,22.0
22,40.0,45.0,901.4211002633564,24.0
