Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
11,0.059977478,2.851413202,0.339863737,0.014040308,0.878198743,0.009835442,0.586327276,0.167580802,0.410271083,0.000730934,4.370915168,53.39150435,0.169054197,0.433850458,2.405908097,186.1260854,0.945055169,0.239117903,0.091938611,0.000845195,4395.541272,0.086001465,0.743685381,0.245109685,11.86449224,0.534273454,0.487793183,0.002628631,8.4440765,0.198843269
12,0.06459113,2.851413202,0.339863737,0.014040308,1.228193179,0.009835442,0.586327276,0.167580802,0.44446034,0.000730934,7.208693145,64.06980522,0.169054197,0.433850458,3.007385121,186.1260854,1.134066203,0.239117903,0.091938611,0.000845195,4395.541272,0.086001465,0.743685381,0.245109685,11.86449224,0.534273454,0.487793183,0.002628631,8.4440765,0.265124359
13,0.069204782,2.851413202,0.339863737,0.019656431,1.456106838,0.009835442,0.586327276,0.167580802,0.44446034,0.000730934,11.06364868,80.08725652,0.169054197,0.433850458,3.007385121,186.1260854,1.134066203,0.239117903,0.091938611,0.000845195,5860.721695,0.086001465,0.743685381,0.245109685,11.86449224,0.534273454,0.548767331,0.003614367,9.650373143,0.265124359
14,0.069204782,2.851413202,0.339863737,0.019656431,1.75085843,0.009835442,0.586327276,0.167580802,0.478649597,0.000730934,17.21831001,106.7830087,0.169054197,0.477235504,3.207877463,229.078259,1.134066203,0.239117903,0.091938611,0.000845195,6837.508645,0.086001465,0.743685381,0.245109685,13.05094146,0.702991387,0.548767331,0.003614367,9.650373143,0.265124359
15,0.069204782,2.851413202,0.339863737,0.019656431,2.026555672,0.009835442,0.586327276,0.167580802,0.478649597,0.000730934,21.53762921,197.5485661,0.169054197,0.477235504,3.809354487,314.9826061,1.51208827,0.239117903,0.091938611,0.000845195,6837.508645,0.086001465,0.743685381,0.245109685,13.05094146,0.702991387,0.548767331,0.003614367,9.650373143,0.331405449
16,0.069204782,2.851413202,0.339863737,0.019656431,2.258974429,0.009835442,0.586327276,0.30723147,0.547028111,0.000730934,25.89380268,229.5834687,0.169054197,0.477235504,4.611323853,314.9826061,1.51208827,0.239117903,0.091938611,0.000845195,7325.902119,0.086001465,0.743685381,0.245109685,18.98318758,0.702991387,0.548767331,0.003614367,9.650373143,0.331405449
17,0.069204782,2.851413202,0.339863737,0.019656431,2.519162317,0.019670885,0.586327276,0.30723147,0.547028111,0.000730934,34.9894339,325.6881765,0.169054197,0.542313073,4.811816194,458.1565179,1.701099304,0.239117903,0.091938611,0.000845195,8058.492331,0.086001465,0.743685381,0.245109685,18.98318758,0.702991387,0.548767331,0.003614367,9.650373143,0.430827083
18,0.069204782,2.851413202,0.339863737,0.019656431,2.718863721,0.019670885,0.586327276,0.30723147,0.547028111,0.000730934,42.92047053,325.6881765,0.169054197,0.542313073,4.811816194,458.1565179,1.701099304,0.239117903,0.091938611,0.000845195,9767.869492,0.086001465,0.743685381,0.245109685,20.1696368,0.899828976,0.548767331,0.003614367,9.650373143,0.430827083
19,0.069204782,2.851413202,0.339863737,0.019656431,2.941533741,0.019670885,0.586327276,0.30723147,0.547028111,0.000730934,48.39701348,400.4362826,0.169054197,0.564005596,5.012308536,587.0130386,1.701099304,0.239117903,0.091938611,0.000845195,10988.85318,0.086001465,0.743685381,0.245109685,21.35608603,0.899828976,0.548767331,0.003614367,10.85666979,0.463967628
20,0.069204782,2.851413202,0.339863737,0.019656431,3.128015267,0.019670885,0.586327276,0.30723147,0.547028111,0.000730934,52.78267036,421.7928844,0.169054197,0.564005596,5.413293219,873.3608623,1.795604821,0.239117903,0.091938611,0.000845195,11477.24665,0.086001465,0.743685381,0.245109685,21.35608603,0.899828976,0.548767331,0.003614367,10.85666979,0.497108173
21,0.069204782,2.851413202,0.339863737,0.019656431,3.278086737,0.029506327,0.586327276,0.30723147,0.547028111,0.000730934,59.27639087,533.9150435,0.169054197,0.564005596,5.61378556,873.3608623,1.795604821,0.239117903,0.091938611,0.000845195,12209.83687,0.086001465,0.743685381,0.245109685,21.35608603,0.927948631,0.548767331,0.003942946,10.85666979,0.497108173
22,0.069204782,2.851413202,0.339863737,0.019656431,3.305634305,0.147531635,0.586327276,0.30723147,0.547028111,0.000730934,66.33766698,672.7329548,1.127027979,0.607390642,5.61378556,1102.439121,2.079121372,0.239117903,0.091938611,0.000845195,14163.41076,0.086001465,0.743685381,0.245109685,21.35608603,0.927948631,0.548767331,0.003942946,10.85666979,0.530248718
23,0.069204782,2.851413202,0.339863737,0.022464493,4.423489503,0.147531635,0.586327276,0.335161604,0.547028111,0.000730934,74.26133275,827.5683174,3.493786735,0.607390642,5.61378556,1331.51738,2.079121372,0.239117903,0.091938611,0.000845195,16361.1814,0.086001465,0.743685381,0.245109685,21.35608603,0.927948631,0.548767331,0.004271525,10.85666979,0.530248718
24,0.069204782,2.851413202,0.339863737,0.022464493,4.900808356,0.481936673,0.586327276,0.335161604,0.547028111,0.000730934,83.76236083,1137.239043,8.734466839,0.629083165,5.61378556,1574.91303,2.079121372,0.239117903,0.091938611,0.000845195,17582.16509,0.086001465,0.743685381,0.245109685,21.35608603,0.927948631,0.548767331,0.004271525,10.85666979,0.530248718
25,0.069204782,2.851413202,0.339863737,0.022464493,5.052578469,0.540949327,0.586327276,0.335161604,0.547028111,0.000730934,93.82357366,1163.934795,12.90447036,0.932778486,5.61378556,1574.91303,2.079121372,0.239117903,0.091938611,0.000845195,18314.7553,0.258004396,0.743685381,0.245109685,21.35608603,0.927948631,0.792663922,0.004271525,15.68185636,0.530248718
26,0.069204782,2.851413202,0.339863737,0.022464493,5.207672015,0.580291097,0.586327276,0.335161604,0.547028111,0.000730934,102.7349336,1334.787609,18.14515046,1.279858852,5.814277901,1718.086942,2.079121372,0.239117903,0.091938611,0.000845195,18803.14877,0.559009524,0.743685381,0.245109685,23.72898447,0.956068287,0.792663922,0.004271525,15.68185636,0.530248718
27,0.069204782,5.702826403,0.339863737,0.025272554,5.349545683,0.590126539,0.586327276,0.335161604,0.547028111,0.000730934,110.4964406,1623.101732,25.52718373,1.431706513,6.014770243,1904.213028,2.079121372,0.239117903,0.091938611,0.000845195,19779.93572,0.64501099,0.743685381,0.490219371,26.10188292,0.984187942,0.792663922,0.004271525,15.68185636,0.530248718
28,0.069204782,22.81130561,0.339863737,0.025272554,5.480784365,0.658974635,0.586327276,0.335161604,0.547028111,0.000730934,119.1793041,2279.817236,36.91016632,1.605246696,6.215262584,2247.830416,2.079121372,0.239117903,0.091938611,0.000845195,20512.52593,1.376023445,0.743685381,1.715767798,26.10188292,0.984187942,0.914612218,0.004271525,15.68185636,0.530248718
29,0.069204782,37.06837162,0.339863737,0.025272554,5.510916825,0.786835385,1.172654551,0.335161604,0.547028111,0.000730934,127.9653596,2824.41058,50.04004227,1.822171925,6.215262584,2333.734763,2.079121372,0.239117903,0.091938611,0.000845195,20512.52593,1.935032969,0.743685381,1.715767798,27.28833215,0.984187942,1.219482957,0.004271525,15.68185636,0.530248718
30,0.069204782,65.58250364,0.339863737,0.028080616,5.544741989,1.072063212,1.172654551,0.335161604,0.581217368,0.000730934,135.6752707,3801.47511,63.56437802,2.039097155,20.85120351,2677.352152,2.079121372,0.239117903,0.091938611,0.000845195,20756.72267,3.612061542,0.743685381,2.941316225,28.47478137,0.984187942,1.402405401,0.004271525,15.68185636,0.530248718
31,0.069204782,142.5706601,0.339863737,0.030888677,5.579674964,1.081898655,1.172654551,0.335161604,0.923109937,0.000730934,144.7930145,4714.469834,95.45926984,2.277714907,40.90043765,3550.713014,2.079121372,0.239117903,0.091938611,0.000845195,20756.72267,5.160087917,0.743685381,3.431535596,30.84767982,0.984187942,2.195069323,0.004928682,22.91963622,0.530248718
32,0.069204782,310.804039,0.339863737,0.030888677,5.686837219,1.475316347,1.758981827,0.335161604,1.572705819,0.000730934,151.9132574,5718.230116,114.7314483,2.646487796,86.81318384,3822.743446,2.079121372,0.239117903,0.091938611,0.001267792,21733.50962,7.095120886,0.743685381,3.676645282,30.84767982,0.984187942,2.438965914,0.004928682,25.3322295,0.530248718
33,0.069204782,481.8888311,0.339863737,0.0365048,5.688388155,1.927746694,3.517963654,0.391021871,1.641084333,0.001218224,159.4904931,6609.868238,140.9912002,3.188800869,120.6963895,4552.930397,2.079121372,0.239117903,0.091938611,0.001267792,21733.50962,9.546162647,0.743685381,5.147303394,33.22057826,0.984187942,3.109681541,0.004928682,25.3322295,0.530248718
34,0.069204782,570.2826403,0.339863737,0.039312862,5.704562196,1.927746694,3.517963654,0.502742406,2.700951298,0.001218224,169.8907651,12648.44738,174.0694714,3.449111144,167.0101204,4767.691264,2.173626889,0.239117903,0.091938611,0.001267792,22221.9031,11.13718976,0.743685381,8.57883899,35.59347671,0.984187942,5.182802568,0.016757519,25.3322295,0.530248718
35,0.115341303,681.4877552,0.339863737,0.056161231,5.742449334,2.517873233,3.517963654,1.061345079,4.444603401,0.006822053,182.8782061,14378.33212,217.4036972,3.687728897,195.8810176,5268.799956,2.173626889,0.239117903,0.091938611,0.001690389,22710.29657,17.20029306,0.743685381,23.04031043,36.77992594,1.040427253,7.012027004,0.016757519,32.57000936,0.530248718
36,0.124568607,761.3273248,0.339863737,0.067393478,5.77287721,2.80310106,3.517963654,1.592017619,5.436091852,0.007309342,199.1383054,16204.32157,261.2450856,4.099886832,252.8208425,5598.099953,2.362637923,0.239117903,0.091938611,0.005493766,22710.29657,21.50036632,0.743685381,24.75607823,37.96637516,1.12478622,9.938786101,0.018728992,32.57000936,0.530248718
37,0.138409564,895.3437453,0.339863737,0.075817663,5.804929877,2.891620041,7.035927307,2.793013367,6.701094358,0.007552987,216.7472706,19322.38542,331.5152801,4.642199905,354.069475,5898.765168,2.74065999,0.239117903,0.153231018,0.005493766,22710.29657,28.93949307,0.743685381,39.46265935,37.96637516,1.12478622,12.56067446,0.019057571,34.98260264,0.530248718
38,0.179932433,895.3437453,0.339863737,0.084241847,5.829154012,3.216189637,8.794909134,3.630917377,8.957585316,0.008283921,238.3143832,22675.3719,415.5915673,4.945895226,468.5506019,6271.017339,2.74065999,0.239117903,0.183877221,0.007184155,24908.06721,46.13978613,0.743685381,49.75726614,40.33927361,1.152905875,16.64594237,0.019714729,34.98260264,0.530248718
39,0.239909911,1593.93998,0.339863737,0.092666032,5.860763553,3.599771887,8.794909134,5.334655531,16.47922184,0.009502145,260.9871236,25067.31129,516.8550312,5.227898024,631.5508755,6385.556468,3.402198609,0.239117903,0.306462035,0.007184155,25884.85415,72.88624183,0.743685381,60.78720199,46.27151973,1.181025531,19.57270146,0.022343359,54.28334893,0.530248718
40,0.253750867,1964.623696,0.339863737,0.103898278,5.903303497,3.953847811,13.48552734,5.697747269,22.90680214,0.010476724,282.3699649,28607.16803,571.910348,5.553285868,749.0393876,6729.173857,4.725275845,0.239117903,0.612924071,0.008451947,26373.24763,97.91266823,0.743685381,87.01393833,47.45796895,1.181025531,23.29212448,0.024314832,54.28334893,0.530248718
41,0.276819128,2526.352097,0.339863737,0.137595017,5.918369728,4.484961696,17.58981827,7.960088096,27.31721629,0.013644106,305.853499,32526.10445,702.2511338,5.94375128,869.1343001,6858.030377,4.725275845,0.239117903,1.011324717,0.008451947,26861.6411,97.91266823,0.743685381,122.5548427,48.64441817,1.209145186,27.80421142,0.032200724,54.28334893,0.530248718
42,0.290660084,3016.795167,0.679727473,0.151635325,5.927601486,4.868543946,23.45309102,10.52966039,35.55682721,0.015105974,328.7768484,36610.55453,702.2511338,6.355909216,1039.753283,7072.791245,7.843957903,0.239117903,1.501663974,0.011832726,26861.6411,224.9798332,0.743685381,146.8207016,49.8308674,1.209145186,27.80421142,0.0387723,89.26595157,0.530248718
43,0.350637562,3544.30661,0.679727473,0.179715941,5.936833245,5.271797081,34.59330926,18.23837729,40.20656615,0.017786066,350.8009538,39659.20943,995.1657056,7.180225087,1126.967451,7273.234722,8.789013072,0.239117903,1.593602584,0.019016882,28571.01827,274.8176823,0.743685381,199.5192839,49.8308674,1.209145186,48.65736999,0.048958243,89.26595157,0.530248718
44,0.419842343,4237.200018,0.679727473,0.216220741,5.94798521,5.665214773,34.59330926,26.50569685,49.81374735,0.019978869,371.992153,41917.67006,1192.226548,7.809308252,1220.597375,7445.043416,9.356046173,0.239117903,1.961357027,0.024933245,31745.57585,335.3197132,0.743685381,235.5504077,52.20376584,1.321623808,69.51052856,0.071301602,102.5352146,0.530248718
45,0.493660777,5118.286697,1.01959121,0.221836864,5.959284882,5.98978437,90.88072772,31.44933051,65.23310222,0.024851764,392.0040159,,1394.52807,9.110859627,1321.846007,,11.05714548,0.239117903,3.401728593,0.026623634,33699.14975,427.513284,1.487370763,250.5020985,53.39021507,1.349743464,69.51052856,0.086087649,102.5352146,0.596529807
46,0.590547472,6435.639596,1.01959121,0.30327065,5.965193208,6.452050159,131.923637,33.76753161,71.0452759,0.027531856,410.8733967,,1576.712143,10.00025307,1411.666576,,12.19121168,0.239117903,4.290468496,0.038033763,36629.5106,505.1726071,1.487370763,270.355983,53.39021507,1.405982775,94.08311015,0.132088683,102.5352146,0.994216346
47,0.590547472,8026.728163,1.699318684,0.328543204,5.969107474,6.983164044,143.0638552,49.82735847,125.6455192,0.028993725,,,1775.407176,10.88964651,1466.400985,,14.08132202,0.239117903,4.351760903,0.0481761,36629.5106,598.1401911,4.462112289,291.6805257,53.39021507,1.405982775,118.8995883,0.170203825,118.217071,0.994216346
48,0.922730425,9697.656299,2.379046157,0.541955884,5.971840074,7.661809563,162.4126553,63.7086349,156.757743,0.034597554,,,2012.477511,11.08487921,1499.281729,,14.08132202,0.239117903,5.730840063,0.062121813,39071.47797,772.4221605,7.436853815,313.4952877,53.39021507,1.405982775,160.1181123,0.191561448,118.217071,1.027356891
49,1.153413031,10672.83961,2.379046157,0.555996192,5.973834134,8.507657603,188.2110555,63.7086349,198.1267439,0.03800858,,,2312.379656,12.60335582,1506.298961,,18.61758683,0.239117903,6.190533116,0.084096876,43467.01924,877.6449533,13.38633687,352.7128373,55.76311352,1.490341741,163.9594836,0.315107082,118.217071,1.259340705
50,1.370254681,12172.68296,2.379046157,0.707631517,5.976345172,9.68791068,197.0059646,102.2522194,248.6242764,0.04726708,,,2649.69913,13.86152215,1554.818108,,22.49231302,0.239117903,6.650226169,0.106917134,43467.01924,1091.10059,20.82319068,401.7347744,56.94956274,1.659059674,242.8600309,0.42090946,136.3115206,1.292481249
51,1.739346851,14077.42698,11.21550331,1.165345553,5.977157567,10.52392328,234.5309102,124.8197674,316.4899514,0.059449318,,,3019.195253,13.86152215,1577.674235,,40.44836123,0.239117903,7.048626815,0.129314794,48839.34746,1237.045077,32.72215679,432.1283754,58.13601196,1.968375885,305.968274,0.546426566,168.88153,1.557605608
52,2.085370761,17778.56131,11.89523079,1.342253432,5.97811767,,263.847274,125.6576714,421.4509702,0.080402766,,,3332.509032,15.20645857,1599.728392,,53.49012257,0.239117903,9.408384488,0.155093234,51769.70831,1510.873742,37.92795446,474.0421316,59.32246119,2.108974162,346.5160823,0.715973234,168.88153,1.756448877
53,2.620554407,20769.69376,12.57495826,1.844896454,5.980481,,306.6491651,185.2605766,523.7794162,0.096483319,,,3602.375881,16.76832022,1621.181073,,63.60221288,0.239117903,11.64555735,0.185097647,55188.46263,1715.084222,44.62112289,501.4944164,62.88180886,2.305811751,405.4780833,0.896034424,184.5633864,1.855870512
54,3.141897097,26044.80818,17.33305057,2.246449259,5.982401206,,367.0408745,213.7213828,678.5883716,0.121578727,,,3898.164374,18.20002673,1636.418491,,74.65935835,0.239117903,14.15854604,0.209185697,59339.80717,2129.181277,54.28903285,560.3207409,70.0005042,3.205640727,492.4881923,1.149697267,184.5633864,2.021573236
55,3.649398831,30897.91345,18.01277805,2.648002064,5.984616828,,410.4290929,252.5721988,759.4459642,0.130593583,,,4191.755163,18.20002673,1651.254924,,85.05496521,0.239117903,16.91670436,0.278069067,64956.33212,2484.840337,57.26377437,619.1470654,79.49209799,4.133589358,581.022655,1.521977063,238.8467353,2.187275961
56,4.941221426,33928.96569,28.54855388,3.58589463,5.98646318,,464.3712023,303.6284831,850.3893876,0.160074597,,,4541.302891,19.04603512,1668.096281,,97.34068241,0.239117903,19.49098545,0.354981788,76433.57878,2825.965149,60.98220128,696.1115066,91.35659023,4.977179023,710.8366158,2.10980456,299.1615674,2.485540864
57,7.146547142,36426.80365,29.56814509,4.125042452,5.989712759,,515.9680025,352.2548458,993.4030494,0.177129729,,,4874.283307,19.28465288,1686.742068,,111.8000265,0.239117903,21.66686591,0.437810872,84247.87437,3149.158655,72.137482,752.2416246,118.6449224,5.961366965,886.7470323,2.557328903,401.6967821,2.816946313
58,7.760162874,39817.13395,30.92760004,5.863232567,5.993700879,,561.70153,398.8981691,1127.766829,0.216112888,,,5210.926564,20.04389118,1717.216904,,123.4242051,0.239117903,24.60890145,0.534163072,94015.74386,3444.788692,75.85590891,844.8930857,128.1365162,7.648546295,1041.987213,4.493972428,401.6967821,3.015789582
59,9.430304944,43763.48982,32.62691873,7.834491792,6.000643161,,610.3666939,447.3848811,1276.045636,0.240477363,,,5504.911813,20.88989957,1734.659738,,143.4593747,0.478235806,32.94466881,0.648264361,105492.9905,3782.172441,75.85590891,906.9058361,160.1706452,9.05452907,1190.337315,6.275855332,488.5501404,3.115211217
60,10.90667362,47818.19939,32.62691873,9.129008178,6.004705135,,684.2439306,554.5807341,1502.207571,0.249492218,,,5733.134979,21.84437058,1764.132112,,153.4769595,0.478235806,43.45631662,0.775888765,111109.5155,4124.759278,78.83065044,987.3018129,181.5267312,11.55717841,1350.028608,8.37514537,564.5468289,3.744881569
61,12.96436247,52554.39672,33.64650994,11.33895264,6.014306164,,727.0458217,622.9537014,1739.241689,0.304799575,,,5961.527199,23.88346774,1796.611872,,169.7319084,0.717353709,47.37903068,0.987610046,124296.1393,4477.150282,78.83065044,1087.061455,200.5099188,16.84367364,1533.499819,10.93378859,687.5890865,4.076287017
62,14.50070863,,33.64650994,13.13611204,6.018958971,,792.7144766,704.7610629,1972.549179,0.340371708,,,6230.999588,24.46916586,1796.611872,,191.9407048,0.717353709,63.86668819,1.173552888,136261.7794,4818.877104,84.03644811,1212.557614,231.3575986,20.27427161,1797.152034,14.40719522,737.0472488,4.440833011
63,16.79369374,,35.00596488,15.64371103,6.025827399,,831.4120768,814.3030471,2122.981909,0.486802199,,,6494.047919,25.87917984,1811.849289,,204.226422,0.956471612,70.82337639,1.499375457,154088.1412,5125.644331,87.01118963,1364.770728,255.0865831,23.25495509,2055.926318,17.65782542,800.9809709,4.672816825
64,18.38079007,,36.36541983,17.62058638,6.030997184,,847.8292405,920.6889263,2286.74845,0.619588585,,,6752.419083,28.35212746,1831.898524,,219.2527992,1.195589516,80.69145393,1.753356475,166786.3716,5425.316436,90.72961654,1502.767481,278.8155676,26.26375823,2327.261276,21.61325718,981.9254673,5.070503363
65,20.12013692,,37.0451473,20.75999922,6.039933526,,890.0448043,1049.474773,2455.062162,0.625436059,,,7023.187555,30.08752929,1852.749727,,233.4286268,1.195589516,92.49024229,1.999308142,178752.0117,,106.3470096,1579.241703,298.9852044,29.38503999,2554.999718,27.54673338,1235.247762,5.401908812
66,21.03364004,,37.0451473,23.92749267,6.048426744,,946.9185501,1122.06519,2662.385816,0.750913102,,,,31.84462365,1870.99453,,248.1714874,1.195589516,94.81935376,,195845.7833,,108.5780657,,316.7819427,31.94392864,,33.40233641,1524.758957,5.766454805
67,22.43157663,,37.38501104,26.82541222,6.05595986,,1103.467933,1244.287455,2899.043852,,,,,36.72544131,1900.266412,,261.4022598,1.195589516,,,206102.0463,,112.2964926,,335.7651303,35.00897109,,39.91509707,1815.476448,6.230422433
68,23.60344427,,38.74446599,31.66370231,6.06504391,,,1455.942008,3116.658473,,,,,40.47824777,1921.318108,,274.8220432,1.195589516,,,214648.9321,,118.2459757,,353.5618687,39.03008183,,46.29215468,,6.727530606
69,24.59076583,,38.74446599,34.9013973,6.070656819,,,1591.710388,3285.314077,,,,,40.47824777,1936.956511,,294.4791907,1.434707419,,,226126.1787,,123.4517733,,363.0534625,42.85435498,,53.16635203,,7.02579551
70,25.60576929,,,36.41494249,6.076638999,,,1650.810551,,,,,,42.36549727,1962.018053,,314.9868878,1.434707419,,,244196.7373,,,,382.03665,46.42555122,,61.82933244,,7.224638779
71,,,,,6.082695033,,,1796.96894,,,,,,47.24631492,1982.26778,,329.1627154,2.152061128,,,256162.3774,,,,390.3417946,49.79990988,,70.10951853,,7.721746952
72,,,,,6.087938672,,,2512.399314,,,,,,54.12284469,2000.111598,,,,,,272035.1654,,,,402.2062868,52.72435405,,79.99349781,,7.854309131
73,,,,,6.093773143,,,,,,,,,56.76933248,2017.353939,,,,,,290349.9207,,,,412.8843299,55.62067857,,90.55172082,,7.953730766
74,,,,,6.096136473,,,,,,,,,68.09282945,2036.20022,,,,,,,,,,421.1894744,58.12332791,,101.4815665,,
