Day,Australia,Belgium,Cambodia,Canada,China,Egypt,Finland,France,Germany,India,Iran,Israel,Italy,Japan,"Korea, South",Lebanon,Malaysia,Nepal,Philippines,Russia,Singapore,Spain,Sri Lanka,Sweden,Taiwan*,Thailand,UK,US,United Arab Emirates,Vietnam
1,0.018454609,2.851413202,0.339863737,0.002808062,0.04047203,0.009835442,0.586327276,0.055860267,0.034189257,0.000243645,0.014741704,5.339150435,0.112702798,0.043385046,0.200492341,14.31739118,0.283516551,0.239117903,0.030646204,0.000845195,244.1967373,0.043000733,0.743685381,0.245109685,1.186449224,0.056239311,0.121948296,0.000328579,4.825186572,0.06628109
2,0.023068261,2.851413202,0.339863737,0.002808062,0.047488167,0.009835442,0.586327276,0.083790401,0.136757028,0.000243645,0.036854259,5.339150435,0.112702798,0.043385046,0.200492341,14.31739118,0.378022068,0.239117903,0.030646204,0.000845195,732.5902119,0.043000733,0.743685381,0.245109685,1.186449224,0.084358966,0.121948296,0.000328579,4.825186572,0.06628109
3,0.023068261,2.851413202,0.339863737,0.005616123,0.067945744,0.009835442,0.586327276,0.083790401,0.136757028,0.000243645,0.132675334,5.339150435,0.112702798,0.043385046,0.400984683,14.31739118,0.378022068,0.239117903,0.030646204,0.000845195,732.5902119,0.043000733,0.743685381,0.245109685,3.559347671,0.140598277,0.121948296,0.000657158,4.825186572,0.06628109
4,0.027681913,2.851413202,0.339863737,0.005616123,0.103838822,0.009835442,0.586327276,0.083790401,0.136757028,0.000487289,0.206383853,5.339150435,0.112702798,0.043385046,0.400984683,14.31739118,0.378022068,0.239117903,0.061292407,0.000845195,976.7869492,0.043000733,0.743685381,0.245109685,3.559347671,0.196837588,0.121948296,0.000657158,4.825186572,0.06628109
5,0.041522869,2.851413202,0.339863737,0.005616123,0.153247195,0.009835442,0.586327276,0.111720535,0.170946285,0.000730934,0.316946631,5.339150435,0.112702798,0.086770092,0.601477024,14.31739118,0.661538618,0.239117903,0.061292407,0.000845195,1220.983687,0.043000733,0.743685381,0.245109685,4.745796895,0.224957244,0.121948296,0.001642894,6.031483214,0.06628109
6,0.041522869,2.851413202,0.339863737,0.011232246,0.212478158,0.009835442,0.586327276,0.139650668,0.273514055,0.000730934,0.449621965,10.67830087,0.112702798,0.086770092,0.801969366,28.63478237,0.756044135,0.239117903,0.061292407,0.000845195,1709.377161,0.043000733,0.743685381,0.245109685,5.932246119,0.224957244,0.121948296,0.001642894,6.031483214,0.06628109
7,0.055363826,2.851413202,0.339863737,0.011232246,0.40686207,0.009835442,0.586327276,0.139650668,0.341892569,0.000730934,0.700230929,16.0174513,0.112702798,0.15184766,0.801969366,28.63478237,0.756044135,0.239117903,0.061292407,0.000845195,1709.377161,0.043000733,0.743685381,0.245109685,9.49159379,0.393675177,0.121948296,0.001642894,6.031483214,0.06628109
8,0.055363826,2.851413202,0.339863737,0.011232246,0.449549722,0.009835442,0.586327276,0.139650668,0.410271083,0.000730934,1.024548412,21.35660174,0.169054197,0.15184766,0.801969366,28.63478237,0.756044135,0.239117903,0.061292407,0.000845195,2441.967373,0.043000733,0.743685381,0.245109685,9.49159379,0.393675177,0.182922444,0.001642894,6.031483214,0.06628109
9,0.055363826,2.851413202,0.339863737,0.011232246,0.601245981,0.009835442,0.586327276,0.167580802,0.410271083,0.000730934,1.805858712,37.37405304,0.169054197,0.238617752,0.801969366,57.26956474,0.756044135,0.239117903,0.091938611,0.000845195,3174.557585,0.086001465,0.743685381,0.245109685,10.67804301,0.393675177,0.182922444,0.001642894,6.031483214,0.06628109
10,0.059977478,2.851413202,0.339863737,0.011232246,0.723917591,0.009835442,0.586327276,0.167580802,0.410271083,0.000730934,2.859890532,53.39150435,0.169054197,0.325387844,2.205415756,143.1739118,0.756044135,0.239117903,0.091938611,0.000845195,3907.147797,0.086001465,0.743685381,0.245109685,11.86449224,0.534273454,0.182922444,0.002300052,6.031483214,0.198843269
