,cluster1,cluster2,distance,members
0,23.0,24.0,581.7748705470184,2.0
1,16.0,17.0,671.1326247471509,2.0
2,22.0,25.0,694.5984451465465,3.0
3,21.0,27.0,1192.2302629945275,4.0
4,18.0,19.0,1549.9693545357597,2.0
5,26.0,28.0,1767.53698688316,6.0
6,20.0,30.0,1770.655810709693,7.0
7,29.0,31.0,1945.9501535239797,9.0
8,14.0,15.0,2231.9572128515365,2.0
9,13.0,33.0,2739.734658685034,3.0
10,11.0,12.0,3716.0936479050147,2.0
11,32.0,34.0,3848.7960455186503,12.0
12,7.0,35.0,3999.440960934415,3.0
13,9.0,10.0,4076.6320658111886,2.0
14,36.0,37.0,4121.579308954275,15.0
15,6.0,39.0,4723.955969312161,16.0
16,5.0,40.0,8519.931689867002,17.0
17,38.0,41.0,9151.886417564414,19.0
18,8.0,42.0,10660.405198677956,20.0
19,4.0,43.0,16017.342476203723,21.0
20,3.0,44.0,32186.812812081906,22.0
21,2.0,45.0,36443.837929065594,23.0
22,0.0,1.0,49323.0361899995,2.0
23,46.0,47.0,79656.13914193933,25.0
