Figure6_Left;;
Country;X;Y
Cluster 1;;
Monaco;25;1
Cluster 2;;
All other countries ;25;495
Cluster 2.1;;
SanMarino;4;2
Cluster 2.2;;
All other countries ;4;493
Cluster 2.2.1;;
Estonia;1;30
Denmark;1;31
Montenegro;1;27
Netherlands;1;26
Slovenia;1;28
HolySee;1;29
Cyprus;1;24
Israel;1;21
FrenchPolynesiaFrance;1;23
Iceland;1;25
Qatar;1;22
Belgium;1;20
Mauritius;1;17
Switzerland;1;18
Brunei;1;19
SaintVincentandtheGrenadines;1;14
SaintLucia;1;15
Maldives;1;16
Singapore;1;11
Seychelles;1;13
Grenada;1;10
Dominica;1;12
AntiguaandBarbuda;1;9
Barbados;1;8
Bahrain;1;7
Luxembourg;4;5
Malta;1;6
Andorra;1;3
Liechtenstein;1;4
